ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
4Z7MwihkFlUuXamB6p255w,WhisperingStill-LittleRoseRemix,0.7020000000000001,0.67,8.0,-7.287999999999999,0.0,0.111,0.24100000000000002,1.15e-05,0.20199999999999999,0.51,118.987,194622.0,4.0,deepchill-out,SRTW,53
1nZCWFzsaWakRqmYz5hkCV,TakeMyHand,0.767,0.44799999999999995,0.0,-10.234,1.0,0.134,0.414,0.00139,0.204,0.285,119.994,160000.0,4.0,deepchill-out,Hilow,15
6o3EXRKd6XVXeuRY1B9vCd,OutOfLove-RuhdeRemix,0.667,0.5329999999999999,7.0,-8.78,1.0,0.0324,0.604,0.000784,0.171,0.198,127.997,224573.0,3.0,deepchill-out,Alessia Cara,27
5lmvU62OnO8TiaEi4S6vyg,FallInLove,0.7040000000000001,0.845,1.0,-3.682,0.0,0.0529,0.44799999999999995,1.67e-05,0.079,0.865,111.943,188715.0,4.0,deepchill-out,Nexeri,29
50j33IwJ1ACeenWpN1czVv,OlderNow,0.763,0.618,9.0,-6.22,0.0,0.107,0.312,8.61e-06,0.114,0.183,107.998,189968.0,4.0,deepchill-out,James Carter,42
0jFYTxcgHfAQCjlClnT8CO,SafeandSound-RadioEdit,0.7929999999999999,0.723,1.0,-3.92,0.0,0.0383,0.000585,0.00283,0.0884,0.637,120.007,181000.0,4.0,deepchill-out,NLSN,47
29IMRPjHjTGY7HhOSKgFX1,Gangehi,0.73,0.608,1.0,-8.256,0.0,0.0329,0.015,3.39e-05,0.22399999999999998,0.442,119.972,184000.0,4.0,deepchill-out,Roman Müller,44
2nV5162tRGCgRLUq5qpPu9,Ocean-RuhdeRemix,0.68,0.627,11.0,-7.21,1.0,0.031,0.46799999999999997,0.007809999999999999,0.174,0.258,98.026,203890.0,4.0,deepchill-out,Ella Vos,22
5YirlKybY4DplOHECpu6zp,Handle,0.6579999999999999,0.684,2.0,-5.587999999999999,0.0,0.0351,0.331,0.000212,0.14300000000000002,0.57,118.012,195773.0,4.0,deepchill-out,Revelries,49
6zOlG4bSPeLlT4KA9JwP1h,Lambo,0.713,0.624,8.0,-5.599,1.0,0.0396,0.311,0.0,0.0813,0.336,105.03,173156.0,4.0,deepchill-out,Maria Lynn,43
5oVGWXCjDttMLlN94lQniu,MakeItWork,0.624,0.82,6.0,-5.702999999999999,0.0,0.0384,0.0804,0.0,0.163,0.726,97.03,169514.0,4.0,deepchill-out,Blewbird,49
4Apz4uUsEqB7D2rjD5TRM3,Forever,0.517,0.441,1.0,-8.566,1.0,0.22699999999999998,0.0945,9.01e-05,0.11,0.23399999999999999,157.402,193143.0,3.0,deepchill-out,COLIN,49
4wvPGPw7jiBw329EPjf7uo,Rain,0.623,0.575,10.0,-8.461,1.0,0.0298,0.636,0.18600000000000003,0.19399999999999998,0.0412,116.023,221342.0,4.0,deepchill-out,Tobias Bergson,3
7BLiF8AKmhnfQogjsoWhPV,Pictures,0.775,0.5870000000000001,1.0,-9.304,1.0,0.0302,0.135,8.18e-06,0.34600000000000003,0.542,107.007,183916.0,4.0,deepchill-out,SRTW,44
1ldCE6YOvnGKMocwO02DgI,AboutLife,0.627,0.745,7.0,-6.922999999999999,1.0,0.0323,0.0168,0.00302,0.639,0.5429999999999999,109.961,188182.0,4.0,deepchill-out,Adon,47
3nAFT3289EIl9RaK1CXKod,TurnOffTheLight,0.763,0.6709999999999999,7.0,-5.494,1.0,0.0415,0.313,0.000513,0.11599999999999999,0.28,104.983,142904.0,4.0,deepchill-out,Midsplit,42
3RKTHdBLpYiiNfKOETt0Dl,LoseYou(Ft.FinnKleffmann),0.675,0.828,5.0,-6.619,0.0,0.0395,0.0562,0.00224,0.47600000000000003,0.34600000000000003,121.992,181009.0,4.0,deepchill-out,Voost,51
3GKm2oyam4upj3Q0UTZSZ8,IfOnly,0.679,0.631,3.0,-6.023,0.0,0.0683,0.7979999999999999,7.890000000000001e-05,0.105,0.568,96.086,167580.0,4.0,deepchill-out,Nexeri,54
5pxJxN2UWA6iCmp6bcPRVY,InnerSecrets,0.763,0.636,6.0,-8.402000000000001,0.0,0.107,0.0523,0.0,0.0905,0.38299999999999995,120.025,178043.0,4.0,deepchill-out,MVCA,24
0Jeovvx0KqiavRbYYD4qId,HangUp,0.726,0.6559999999999999,7.0,-5.831,0.0,0.0273,0.215,0.00325,0.13,0.258,106.006,183611.0,4.0,deepchill-out,louw,29
3NC6qFD2LyyQzYWUGBoycb,LetItGo,0.892,0.504,0.0,-7.357,0.0,0.057,0.444,0.0028899999999999998,0.11900000000000001,0.508,120.0,171500.0,4.0,deepchill-out,Tullio,50
1njCFkTeyyD4ooUbEzUuS1,LetYouIn,0.503,0.86,6.0,-5.7010000000000005,0.0,0.043,0.21600000000000003,0.49700000000000005,0.21100000000000002,0.263,123.912,164526.0,4.0,deepchill-out,Damaui,23
7INfYwbvv3gvkknVh7KTwv,DancingThroughtheNight,0.6709999999999999,0.6659999999999999,10.0,-7.794,0.0,0.0452,0.18600000000000003,0.000328,0.429,0.33,104.999,160000.0,4.0,deepchill-out,Midnght,35
4MP1v8NFAFbMQEf0GuqAvt,TaleofRiseandFall,0.616,0.6679999999999999,2.0,-8.242,1.0,0.0384,0.0836,0.0016600000000000002,0.131,0.14300000000000002,110.046,152182.0,4.0,deepchill-out,Y.V.E. 48,53
5Yleb4CzkUKvIDt6ZdijX3,SummerEnd,0.6629999999999999,0.48100000000000004,4.0,-9.198,0.0,0.294,0.584,0.0023899999999999998,0.414,0.21899999999999997,180.055,196015.0,4.0,deepchill-out,Roman Müller,3
5HpJ1IIBQws7d7AcgHqRnH,Angel,0.682,0.9470000000000001,9.0,-6.895,0.0,0.0497,0.00201,0.757,0.0348,0.621,120.998,170579.0,4.0,deepchill-out,Adam Stacks,18
50GbZQOHe2XmN0YCHMKcwT,NoMoreTears,0.632,0.83,7.0,-6.781000000000001,0.0,0.0262,0.0264,0.0035700000000000003,0.0888,0.29600000000000004,124.992,176640.0,4.0,deepchill-out,Panuma,39
08jZcQGx52kOxelaTTezkG,Comatose,0.6629999999999999,0.6729999999999999,8.0,-6.3839999999999995,0.0,0.0583,0.00683,0.0,0.0912,0.7559999999999999,112.977,190049.0,4.0,deepchill-out,Nicolas Haelg,53
69O4kQmLPQmMtPrwKalO6S,DeepInMySoul,0.7509999999999999,0.8959999999999999,10.0,-6.309,0.0,0.27899999999999997,0.0981,0.000541,0.203,0.36700000000000005,122.979,192249.0,4.0,deepchill-out,Gianni Blu,45
26aTAc116rMSpMazVJFSgm,HoldMeDown,0.591,0.546,9.0,-11.015999999999998,1.0,0.0378,0.267,7.68e-05,0.418,0.0625,123.027,185900.0,4.0,deepchill-out,louw,42
